,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed
2332,0.039276235,-0.468219459,0.773493767,-0.025749102,-0.010355927,0.056354433,506.377652,
2333,0.064248167,-0.535039067,0.775930762,0.002045259,0.03362637,0.056659866,506.576557,
2334,0.040730912,-0.473526448,0.887543917,-0.074007466,0.004915704,0.082316212,506.776612,
2335,-0.027645594,-0.399228841,0.922392607,-0.058430403,-0.022878664,0.052994676,506.97696,
2336,-0.069113985,-0.449162632,0.79493916,0.059161156,-0.041815486,0.096060678,507.173077,
2337,-0.021227866,-0.413219959,0.781779468,-9.28E-05,-0.030209046,0.085981406,507.372861,
2338,0.014061864,-0.466772109,0.990384042,-0.001619935,-0.044258948,0.082316212,507.577586,
2339,0.028851066,-0.433482915,0.782266855,0.122080281,-0.030514479,0.101558469,507.773646,
2340,-0.069360815,-0.40525949,0.901190937,0.053968802,-0.017075444,0.081705347,507.976727,
2341,0.040730912,-0.409360349,0.902896881,0.04816559,-0.06655553,0.065211982,508.173357,
2342,-0.051094979,-0.427452266,0.962602496,0.035031989,-0.035706833,0.06826631,508.37286,
2343,-0.071088664,-0.40381217,0.899728775,0.019454926,-0.042120919,0.105223656,508.5768,
2344,-0.051094979,-0.436618865,0.839048266,0.029226303,-0.003330697,0.084447138,508.773719,
2345,0.028123727,-0.413702399,0.872922122,0.05579894,-0.071136735,0.109492615,508.977089,
2346,-0.091822855,-0.474250108,0.899485111,0.023117647,-0.074191064,0.077727623,509.173615,
2347,0.017456107,-0.445544213,0.850502014,0.019452468,-0.076023661,0.099718772,509.373367,
2348,-0.100708947,-0.477868497,0.909232914,0.039000154,-0.060446598,0.053903878,509.575718,
2349,-0.088614002,-0.480280757,0.919468224,-0.056905702,-0.054337945,0.019695424,509.773161,
2350,0.032730199,-0.34640038,0.851964235,0.005707994,-0.053421646,0.030080132,509.97934,
2351,-0.021227866,-0.477386057,1.005493283,0.016703561,-0.036622852,0.01236504,510.172902,
2352,-0.016537989,-0.456640601,0.901190937,0.032890245,-0.018294871,0.018777572,510.373777,
2353,0.063520834,-0.398987621,0.94993031,0.066182397,-0.009131892,0.020915601,510.57681,
2354,0.03976113,-0.435653985,0.801275194,0.054575957,-0.005772132,0.020915601,510.773028,
2355,0.016001431,-0.438548684,0.845140696,0.02464357,0.004918009,0.018166708,510.977522,
2356,-0.004936713,-0.430829436,0.914594233,0.002346978,-0.010964488,0.018166708,511.173215,
2357,-0.097253241,-0.428658426,0.967476487,0.002957851,0.016829882,0.021526467,511.373239,
2358,0.042428035,-0.482693017,0.849039853,-0.013230085,0.011332094,0.036798097,511.577259,
2359,-0.025177237,-0.485828936,0.884863257,-0.022698492,0.005528874,0.032522041,511.773022,
2360,-0.024683565,-0.430829436,0.881938875,-0.025447384,-0.003328672,0.013585218,511.976589,
2361,-0.063683592,-0.388373703,0.83856082,0.017007753,-0.068080388,-0.009933094,512.173771,
2362,-0.020734195,-0.467254579,0.834418058,0.022505537,-0.033261068,-0.012681987,512.373559,
2363,-0.04541776,-0.408877909,0.869266629,0.027087018,-0.018600302,0.073144585,512.576663,
2364,-0.021227866,-0.408877909,0.882913709,-0.032166898,0.029658051,0.015723247,512.77358,
2365,0.015274093,-0.398263961,0.91508168,-0.000707343,-0.001190643,0.006254836,512.977001,
2366,-0.070841834,-0.455916971,0.834174335,0.040527508,-0.006079287,-0.000161084,513.181269,
2367,0.009212945,-0.46122393,0.881695211,-0.021475315,0.006138017,0.006558434,513.373479,
2368,0.040003575,-0.371005446,0.991358757,0.032280818,-0.015242266,0.007474731,513.575421,
2369,0.009697837,-0.420939207,0.887543917,0.021588862,-0.029900519,0.074663632,513.773299,
2370,-0.020734195,-0.459776551,0.994770527,0.067098327,0.06569989,0.012049945,513.972416,
2371,-0.019253181,-0.512122571,0.823207974,0.039609388,0.002780772,0.008690188,514.176112,
2372,-0.034310155,-0.496201694,0.814191163,0.028919742,0.02812993,0.022738561,514.372442,
2373,-0.024683565,-0.504644573,0.815165937,0.028917313,-0.003634756,0.001663571,514.575176,
2374,-0.016044317,-0.493548185,0.835392773,0.017308548,0.000641372,0.003495656,514.772553,
2375,-0.016537989,-0.492342055,0.837342381,0.015778989,0.004306148,0.007159798,514.979955,
2376,-0.023449387,-0.468701899,0.844896972,0.014554784,0.002167756,0.003494045,515.17541,
2377,-0.013329125,-0.450368762,0.872922122,0.01791124,0.004610955,0.006553918,515.383954,
2378,-0.017772166,-0.441925824,0.860980928,0.023100108,-0.00180293,0.003499106,515.576602,
2379,-0.018512674,-0.458329201,0.847821355,0.011491612,-0.0002759,0.004720069,515.772023,
2380,-0.017278496,-0.448197722,0.856107056,0.015154138,-0.000886565,0.003497699,515.972327,
2381,-0.017031658,-0.450851202,0.852451563,0.01362446,-0.003329466,0.001970128,516.176391,
2382,-0.016291153,-0.449403852,0.855375946,0.015454218,3.03E-05,-0.073771417,516.372223,
2383,-0.018512674,-0.446991593,0.854401171,0.015756905,-0.00088581,0.003801342,516.575957,
2384,-0.018265838,-0.449886322,0.853670061,0.016059726,0.00094678,0.003189812,516.772214,
2385,-0.017525332,-0.449403852,0.853426337,0.019416556,-0.00241265,0.005021641,516.984421,
2386,-0.017772166,-0.449403852,0.854401171,0.017581001,0.000641723,0.005020951,517.176749,
2387,-0.018512674,-0.449886322,0.854888499,0.020021424,-0.000885317,0.080150403,517.37251,
2388,-0.019006344,-0.448197722,0.853670061,0.014826775,-0.00057971,0.004707698,517.575588,
2389,-0.018019002,-0.453022242,0.854888499,0.020626903,-0.00057951,0.002874542,517.772368,
2390,-0.019746851,-0.449403852,0.854401171,0.017875105,3.13E-05,0.003484847,517.972465,
2391,-0.017031658,-0.450609952,0.854888499,0.014512703,-0.000579547,0.002262633,518.176368,
2392,-0.017278496,-0.449645072,0.855619609,0.016037375,0.001253121,0.00562155,518.372345,
2393,-0.017772166,-0.449645072,0.85293895,0.019088924,-0.000579506,0.004093699,518.576133,
2394,-0.017525332,-0.449886322,0.854157448,0.018169686,-0.003022562,0.004093037,518.772404,
2395,-0.018512674,-0.449645072,0.854888499,0.016028911,-0.001800426,0.003786839,518.972127,
2396,-0.017278496,-0.450609952,0.855863333,0.015415192,-0.000883954,0.0037861,519.179781,
2397,-0.017031658,-0.449162632,0.853670061,0.016634181,0.000642947,0.005007015,519.372209,
2398,-0.018265838,-0.447715253,0.858056605,0.017547488,-0.0011895,0.005616884,519.576577,
2399,-0.018512674,-0.448438942,0.854157448,0.018155515,-0.000884098,0.003172787,519.773244,
2400,-0.017772166,-0.450609952,0.854157448,0.013876781,-0.003021644,0.004393882,519.977812,
2401,-0.017031658,-0.450851202,0.85293895,0.015095979,-0.000578189,0.006225688,520.174441,
2402,-0.016291153,-0.447715253,0.862686872,0.016314998,-0.002410533,0.004697735,520.374034,
2403,-0.019993687,-0.459535331,0.851720512,0.026695579,-0.0045479,0.003475395,520.578102,
2404,-0.011848111,-0.446991593,0.846359134,0.014774352,0.000339145,0.007444998,520.782047,
2405,-0.018512674,-0.449162632,0.854401171,0.01477167,0.000644444,0.005916866,520.977781,
2406,-0.01530381,-0.439513564,0.859275103,0.016906917,-0.00027186,0.00530511,521.174282,
2407,-0.017278496,-0.450368762,0.853182673,0.019957677,-0.001493288,0.005304423,521.374374,
2408,-0.018265838,-0.446991593,0.855375946,0.016595289,-0.002714742,0.005609067,521.581912,
2409,-0.019746851,-0.444096893,0.857812881,0.016592875,-0.000881895,-0.07288149,521.774393,
2410,-0.020240523,-0.454469591,0.853182673,0.016895249,-0.001187257,0.004086793,521.977693,
2411,-0.016537989,-0.448438942,0.851720512,0.016891956,-0.000270913,0.00561309,522.174556,
2412,-0.013329125,-0.439513564,0.86658597,0.021164864,-0.000271073,0.005306894,522.374011,
2413,-0.020981029,-0.455193281,0.850502014,0.014747992,-0.000576614,-0.074099809,522.578207,
2414,-0.028632935,-0.46435985,0.845871806,0.021769792,-0.000270828,0.003174344,522.774819,
2415,-0.022462046,-0.46170637,0.847333908,0.018406972,0.000645156,0.00439531,522.9777,
2416,-0.028386101,-0.486311406,0.849770904,0.018404514,-0.006073931,0.000729765,523.17727,
2417,-0.042702567,-0.495236754,0.824182749,0.028786466,-0.00393578,-0.007821213,523.37498,
2418,-0.005183549,-0.473767638,0.821989477,0.008625582,-0.006683396,-0.019118827,523.576651,
2419,-0.082936779,-0.480521977,0.860980928,0.023591787,0.015918618,-0.054549012,523.77332,
2420,-0.093550704,-0.486311406,0.795670211,0.047415525,0.056846589,-0.085397705,523.973528,
2421,-0.230544493,-0.583525479,0.802006304,-0.072924927,0.076699704,-0.136099532,524.176991,
2422,0.12243519,-0.539863586,0.682838559,-0.089112848,0.070896484,-0.04630233,524.373258,
2423,0.02133524,-0.440478504,0.746930897,-0.024361134,0.099912584,-0.129990876,524.579353,
2424,-0.020240523,-0.532626748,0.792745829,-0.118739814,0.140535131,-0.134572357,524.775995,
2425,-0.032582305,-0.475215018,0.77032572,-0.004202589,0.153668731,-0.188328505,524.972856,
2426,0.563444316,-0.611507654,0.943106771,0.105447724,0.339371771,-0.248193294,525.175639,
2427,0.165590554,-0.442408293,1.12271142,0.160425603,-0.013402914,-0.198102355,525.37279,
2428,0.006061148,-0.369558066,1.299391627,0.099339075,0.127401516,-0.237197727,525.579559,
2429,-0.238196403,-0.40501827,0.826376021,-0.164249271,0.145116612,-0.190771967,525.772774,
2430,0.457980335,-0.552648544,0.712569594,0.092619553,0.100523449,-0.089673758,525.973647,
2431,-0.055784855,-0.526596129,0.981610894,-0.05520983,-0.012792048,-0.13854298,526.17748,
2432,0.254325777,-0.435653985,0.531259179,-0.081171602,-0.038753822,-0.090284623,526.373239,
2433,-0.053810168,-0.497890234,1.390046835,0.096895613,-0.007599694,-0.11960616,526.579537,
2434,-0.244367287,-0.595345497,0.655057132,0.138129026,0.155501321,-0.149538562,526.776356,
2435,-0.373955995,-0.492824525,1.018652797,0.212654576,-0.004850801,-0.209097922,526.972558,
2436,-0.362601548,-0.556025743,0.99842602,-0.340789318,0.041574959,-0.06890434,527.176124,
2437,-0.24066475,-0.34591794,0.862199485,-0.174939424,-0.237285033,0.043494862,527.37226,
2438,0.367790461,-0.351224929,0.28610009,-0.31024608,0.460017651,0.175747186,527.572243,
2439,0.252143741,-0.437583774,0.372125059,-0.069259733,0.059290048,0.014784194,527.775795,
2440,0.2254747,-0.514534831,1.605718493,0.033060193,-0.596168399,-0.190466538,527.972604,
2441,0.202199891,-0.440719724,0.946274877,0.081623979,0.067536727,0.071594663,528.182283,
2442,-0.282379985,-0.152937219,0.716712415,0.001295209,0.120987438,0.007148379,528.37328,
2443,-0.00567722,-0.213726133,0.716225028,-0.099497557,0.066925861,0.039829668,528.579802,
2444,0.032245304,-0.327584773,0.690880537,0.011985347,0.011031697,0.006537514,528.776166,
2445,-0.035544332,-0.415632218,0.718174636,0.017177701,-0.04425161,-0.056076173,528.972544,
2446,0.032002863,-0.352189809,0.882913709,-0.017947048,-0.030201707,-0.036528487,529.175448,
2447,0.034669768,-0.369799286,0.896804452,0.023589805,-0.00912609,-0.031638905,529.372615,
2448,-0.000987343,-0.380172014,0.907283366,0.018701315,0.019582931,0.001653111,529.57199,
2449,-0.009873426,-0.410084009,0.870972574,0.030913949,-0.000575603,0.000736895,529.775594,
2450,-0.017772166,-0.453022242,0.855863333,0.019916698,-0.001186368,0.002874682,529.972101,
2451,-0.017031658,-0.435171515,0.859275103,0.004644006,0.002783608,0.004400976,530.175754,
